km/h,Mon.,Tue.,Wed.,Thu.,Fri.,Sat.,Sun.,,水立方-北京南站
0:00,52.50 ,57.27 ,52.50 ,54.78 ,52.50 ,50.40 ,52.50 ,,
0:15,54.78 ,54.78 ,50.40 ,52.50 ,54.78 ,52.50 ,54.78 ,,
0:30,54.78 ,57.27 ,50.40 ,50.40 ,54.78 ,50.40 ,54.78 ,,
0:45,54.78 ,57.27 ,54.78 ,50.40 ,54.78 ,50.40 ,52.50 ,,
1:00,52.50 ,54.78 ,54.78 ,54.78 ,57.27 ,50.40 ,54.78 ,,
1:15,50.40 ,57.27 ,57.27 ,54.78 ,57.27 ,52.50 ,54.78 ,,
1:30,52.50 ,54.78 ,54.78 ,52.50 ,57.27 ,52.50 ,54.78 ,,
1:45,50.40 ,54.78 ,57.27 ,54.78 ,57.27 ,52.50 ,54.78 ,,
2:00,52.50 ,54.78 ,57.27 ,48.46 ,57.27 ,54.78 ,54.78 ,,
2:15,54.78 ,52.50 ,57.27 ,48.46 ,54.78 ,54.78 ,52.50 ,,
2:30,54.78 ,52.50 ,57.27 ,52.50 ,52.50 ,54.78 ,54.78 ,,
2:45,54.78 ,52.50 ,54.78 ,54.78 ,54.78 ,54.78 ,57.27 ,,
3:00,52.50 ,52.50 ,54.78 ,54.78 ,57.27 ,57.27 ,54.78 ,,
3:15,52.50 ,54.78 ,54.78 ,54.78 ,52.50 ,54.78 ,54.78 ,,
3:30,48.46 ,54.78 ,54.78 ,52.50 ,54.78 ,52.50 ,57.27 ,,
3:45,48.46 ,57.27 ,57.27 ,50.40 ,50.40 ,52.50 ,54.78 ,,
4:00,46.67 ,54.78 ,54.78 ,52.50 ,50.40 ,54.78 ,52.50 ,,
4:15,48.46 ,54.78 ,52.50 ,54.78 ,57.27 ,52.50 ,52.50 ,,
4:30,52.50 ,57.27 ,52.50 ,57.27 ,57.27 ,52.50 ,52.50 ,,
4:45,52.50 ,54.78 ,52.50 ,57.27 ,57.27 ,52.50 ,54.78 ,,
5:00,52.50 ,54.78 ,52.50 ,57.27 ,54.78 ,54.78 ,52.50 ,,
5:15,54.78 ,57.27 ,52.50 ,60.00 ,57.27 ,57.27 ,52.50 ,,
5:30,54.78 ,57.27 ,54.78 ,60.00 ,57.27 ,57.27 ,54.78 ,,
5:45,54.78 ,57.27 ,54.78 ,60.00 ,54.78 ,54.78 ,54.78 ,,
6:00,52.50 ,54.78 ,54.78 ,57.27 ,54.78 ,54.78 ,52.50 ,,
6:15,50.40 ,52.50 ,52.50 ,54.78 ,52.50 ,52.50 ,52.50 ,,
6:30,30.00 ,33.16 ,32.31 ,34.05 ,32.31 ,50.40 ,50.40 ,,
6:45,22.91 ,27.39 ,27.39 ,28.00 ,27.39 ,52.50 ,50.40 ,,
7:00,20.32 ,21.72 ,21.72 ,23.77 ,22.91 ,54.78 ,52.50 ,,
7:15,19.69 ,20.66 ,21.36 ,20.66 ,21.36 ,52.50 ,52.50 ,,
7:30,19.09 ,20.00 ,22.91 ,21.00 ,21.00 ,52.50 ,50.40 ,,
7:45,20.32 ,20.32 ,22.11 ,20.00 ,22.50 ,48.46 ,48.46 ,,
8:00,21.36 ,20.32 ,22.91 ,20.00 ,22.91 ,45.00 ,46.67 ,,
8:15,20.32 ,22.91 ,25.20 ,22.50 ,26.81 ,40.65 ,42.00 ,,
8:30,22.91 ,24.23 ,25.71 ,22.91 ,26.25 ,38.18 ,39.38 ,,
8:45,25.20 ,23.33 ,26.25 ,22.91 ,22.50 ,39.38 ,38.18 ,,
9:00,24.71 ,25.20 ,25.71 ,25.71 ,23.33 ,38.18 ,37.06 ,,
9:15,26.81 ,24.71 ,24.71 ,26.81 ,23.33 ,35.00 ,34.05 ,,
9:30,28.64 ,26.25 ,26.25 ,28.00 ,24.71 ,35.00 ,32.31 ,,
9:45,28.64 ,26.81 ,29.30 ,28.64 ,25.20 ,34.05 ,29.30 ,,
10:00,31.50 ,26.81 ,28.64 ,27.39 ,25.71 ,33.16 ,30.73 ,,
10:15,34.05 ,29.30 ,27.39 ,28.00 ,28.64 ,28.64 ,32.31 ,,
10:30,38.18 ,30.73 ,29.30 ,30.00 ,28.64 ,30.00 ,34.05 ,,
10:45,42.00 ,33.16 ,30.00 ,30.00 ,29.30 ,31.50 ,36.00 ,,
11:00,45.00 ,36.00 ,30.00 ,30.73 ,30.73 ,30.73 ,37.06 ,,
11:15,46.67 ,39.38 ,33.16 ,33.16 ,32.31 ,30.00 ,36.00 ,,
11:30,46.67 ,42.00 ,37.06 ,35.00 ,37.06 ,34.05 ,37.06 ,,
11:45,42.00 ,40.65 ,38.18 ,39.38 ,39.38 ,34.05 ,40.65 ,,
12:00,40.65 ,43.45 ,40.65 ,43.45 ,42.00 ,32.31 ,46.67 ,,
12:15,43.45 ,45.00 ,40.65 ,46.67 ,39.38 ,33.16 ,46.67 ,,
12:30,42.00 ,46.67 ,42.00 ,46.67 ,32.31 ,36.00 ,46.67 ,,
12:45,39.38 ,45.00 ,42.00 ,45.00 ,31.50 ,38.18 ,40.65 ,,
13:00,37.06 ,40.65 ,43.45 ,38.18 ,35.00 ,38.18 ,37.06 ,,
13:15,39.38 ,37.06 ,42.00 ,31.50 ,38.18 ,36.00 ,39.38 ,,
13:30,40.65 ,34.05 ,39.38 ,30.73 ,33.16 ,34.05 ,39.38 ,,
13:45,39.38 ,36.00 ,35.00 ,33.16 ,30.00 ,34.05 ,39.38 ,,
14:00,38.18 ,37.06 ,37.06 ,38.18 ,27.39 ,37.06 ,39.38 ,,
14:15,38.18 ,36.00 ,38.18 ,37.06 ,28.64 ,35.00 ,36.00 ,,
14:30,39.38 ,37.06 ,35.00 ,32.31 ,28.00 ,34.05 ,34.05 ,,
14:45,37.06 ,34.05 ,34.05 ,32.31 ,27.39 ,34.05 ,30.73 ,,
15:00,40.65 ,33.16 ,33.16 ,30.73 ,28.64 ,31.50 ,30.73 ,,
15:15,43.45 ,34.05 ,39.38 ,37.06 ,28.64 ,31.50 ,31.50 ,,
15:30,39.38 ,35.00 ,39.38 ,40.65 ,25.71 ,34.05 ,34.05 ,,
15:45,39.38 ,38.18 ,36.00 ,40.65 ,24.23 ,34.05 ,32.31 ,,
16:00,39.38 ,37.06 ,36.00 ,34.05 ,24.71 ,31.50 ,32.31 ,,
16:15,37.06 ,35.00 ,35.00 ,33.16 ,22.11 ,28.64 ,31.50 ,,
16:30,33.16 ,31.50 ,28.64 ,29.30 ,19.69 ,28.00 ,31.50 ,,
16:45,29.30 ,26.81 ,23.77 ,27.39 ,18.53 ,26.81 ,30.00 ,,
17:00,25.71 ,22.91 ,22.11 ,24.23 ,17.26 ,28.00 ,28.64 ,,
17:15,21.36 ,21.72 ,20.00 ,22.91 ,15.18 ,28.00 ,25.20 ,,
17:30,20.66 ,22.50 ,20.66 ,22.11 ,15.75 ,28.64 ,28.00 ,,
17:45,21.00 ,24.23 ,20.00 ,22.50 ,16.80 ,30.73 ,29.30 ,,
18:00,21.00 ,23.33 ,20.66 ,22.50 ,17.26 ,32.31 ,28.64 ,,
18:15,24.23 ,26.25 ,24.23 ,25.20 ,18.81 ,34.05 ,28.64 ,,
18:30,27.39 ,29.30 ,28.64 ,25.71 ,21.36 ,37.06 ,31.50 ,,
18:45,31.50 ,33.16 ,34.05 ,29.30 ,24.23 ,43.45 ,35.00 ,,
19:00,36.00 ,36.00 ,38.18 ,33.16 ,29.30 ,48.46 ,40.65 ,,
19:15,39.38 ,37.06 ,42.00 ,37.06 ,32.31 ,48.46 ,42.00 ,,
19:30,42.00 ,40.65 ,43.45 ,42.00 ,34.05 ,48.46 ,43.45 ,,
19:45,45.00 ,42.00 ,46.67 ,45.00 ,30.73 ,48.46 ,43.45 ,,
20:00,43.45 ,40.65 ,45.00 ,43.45 ,29.30 ,48.46 ,46.67 ,,
20:15,43.45 ,38.18 ,42.00 ,42.00 ,30.00 ,48.46 ,46.67 ,,
20:30,43.45 ,38.18 ,42.00 ,42.00 ,30.73 ,48.46 ,46.67 ,,
20:45,45.00 ,42.00 ,40.65 ,42.00 ,33.16 ,48.46 ,45.00 ,,
21:00,45.00 ,45.00 ,43.45 ,43.45 ,35.00 ,48.46 ,46.67 ,,
21:15,46.67 ,43.45 ,43.45 ,43.45 ,38.18 ,48.46 ,50.40 ,,
21:30,46.67 ,45.00 ,45.00 ,46.67 ,40.65 ,50.40 ,50.40 ,,
21:45,46.67 ,48.46 ,48.46 ,50.40 ,42.00 ,50.40 ,50.40 ,,
22:00,48.46 ,50.40 ,48.46 ,50.40 ,42.00 ,52.50 ,52.50 ,,
22:15,48.46 ,52.50 ,50.40 ,50.40 ,48.46 ,52.50 ,52.50 ,,
22:30,48.46 ,52.50 ,50.40 ,50.40 ,48.46 ,52.50 ,52.50 ,,
22:45,48.46 ,52.50 ,50.40 ,50.40 ,43.45 ,52.50 ,52.50 ,,
23:00,48.46 ,52.50 ,52.50 ,52.50 ,38.18 ,52.50 ,50.40 ,,
23:15,50.40 ,52.50 ,52.50 ,52.50 ,45.00 ,54.78 ,50.40 ,,
23:30,52.50 ,52.50 ,54.78 ,52.50 ,45.00 ,52.50 ,50.40 ,,
23:45,54.78 ,50.40 ,54.78 ,52.50 ,54.78 ,54.78 ,50.40 ,,
